Artist,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature,Outlier
Arms and Sleepers,0.719,0.352,0.0,-13.666,0.0,0.0414,0.875,0.815,0.113,0.223,89.995,4.0,1
Artche,0.693,0.839,10.0,-12.586,0.0,0.0377,0.116,0.824,0.112,0.0991,120.992,4.0,1
Aubrey Huntsman,0.763,0.207,0.0,-16.304,1.0,0.0293,0.354,0.0014,0.0793,0.513,108.022,4.0,1
Aukai,0.593,0.588,7.0,-8.76,0.0,0.0396,0.653,0.895,0.144,0.208,120.017,4.0,1
Autoerotique,0.687,0.984,1.0,-4.708,1.0,0.073,0.00632,0.712,0.0712,0.423,127.067,4.0,1
Avoure,0.611,0.84,1.0,-6.886,0.0,0.0316,0.000492,0.917,0.102,0.272,122.982,4.0,1
Axel Thesleff,0.7,0.546,5.0,-7.705,0.0,0.109,0.0131,0.0305,0.172,0.302,80.004,4.0,1
Axwell /\ Ingrosso,0.718,0.974,5.0,-6.439,0.0,0.143,0.00686,0.3,0.251,0.177,122.994,4.0,1
Azealia Banks,0.8370000000000001,0.8300000000000001,9.0,-6.154,0.0,0.13373333333333334,0.03626666666666667,0.0037170999999999997,0.10586666666666666,0.5266666666666667,125.31466666666665,4.0,1
Azucarillo Kings,0.679,0.886,7.0,-5.511,0.0,0.046,0.266,0.0,0.0556,0.865,122.95,4.0,1
BABii,0.476,0.321,8.0,-9.932,1.0,0.0408,0.554,0.353,0.094,0.298,129.974,4.0,1
BAYNK,0.797,0.593,0.0,-7.44,1.0,0.0471,0.039,0.345,0.111,0.133,117.007,4.0,1
BOAN,0.491,0.736,1.0,-8.479,1.0,0.0404,0.006,0.887,0.0898,0.686,165.973,4.0,1
BRONSON,0.735,0.65,6.0,-5.815,0.0,0.0737,0.161,0.21,0.109,0.122,122.048,4.0,1
Babe Rainbow,0.745,0.884,6.0,-7.981,1.0,0.0383,0.00217,0.84,0.112,0.447,122.021,4.0,1
Baby Dayliner,0.809,0.822,8.0,-7.621,1.0,0.102,0.0682,0.564,0.071,0.544,116.183,4.0,1
Bad Brains,0.279,0.984,2.0,-4.013,1.0,0.0675,1.35e-05,0.348,0.314,0.63,153.988,4.0,1
Bad Bunny,0.7935,0.5954999999999999,5.5,-7.4755,0.5,0.1702,0.21565,2.61e-05,0.0998,0.268,95.9605,4.0,1
Bag Raiders,0.628,0.914,11.0,-6.906,0.0,0.0591,0.00119,0.792,0.0597,0.749,127.998,4.0,1
Baio,0.776,0.889,8.0,-7.936,0.0,0.0517,0.0395,0.872,0.299,0.438,120.012,4.0,1
Baltra,0.742,0.689,0.0,-8.556,1.0,0.0469,0.104,0.227,0.397,0.159,120.994,4.0,1
Bankii,0.629,0.311,5.0,-14.35,0.0,0.0411,0.491,0.156,0.13,0.121,124.006,4.0,1
Baron,0.529,0.723,0.0,-5.491,1.0,0.0322,0.129,0.497,0.07,0.327,80.121,4.0,1
Barry Can't Swim,0.627,0.6385000000000001,4.0,-11.242,0.5,0.0404,0.3395,0.5409999999999999,0.3398,0.1358,117.4705,4.0,1
Basement Jaxx,0.603,0.92,0.0,-4.828,1.0,0.0299,7.17e-05,0.11,0.222,0.401,127.868,4.0,1
Bass Drum of Death,0.3626666666666667,0.9043333333333333,3.0,-4.248333333333333,0.3333333333333333,0.07970000000000001,0.014277666666666668,0.18116666666666667,0.214,0.33,89.522,4.0,1
Bassnectar,0.533,0.952,7.0,-3.471,1.0,0.0592,0.0244,0.00149,0.896,0.517,140.025,4.0,1
Bastille,0.625,0.7713333333333333,5.166666666666667,-6.161333333333334,0.5,0.04271666666666666,0.16016666666666668,0.00184281,0.19330000000000003,0.5431666666666667,127.29066666666667,4.0,1
Bayonne,0.632,0.813,9.0,-7.121,0.0,0.0691,0.248,0.746,0.137,0.937,82.003,4.0,1
Beach House,0.32899999999999996,0.6465000000000001,3.5,-6.4825,1.0,0.031,0.10745,0.03935156,0.20165,0.3135,122.185,4.0,1
Beastie Boys,0.874,0.362,0.0,-16.942,1.0,0.0713,0.467,0.843,0.0718,0.96,114.036,4.0,1
Beck,0.5515,0.963,6.5,-5.4575,0.5,0.0592,0.108165,0.08559000000000001,0.288,0.735,89.952,4.0,1
Belle and Sebastian,0.5044285714285713,0.6347142857142857,6.0,-9.37257142857143,0.7142857142857143,0.04814285714285715,0.48123571428571427,0.13634834285714287,0.09330000000000001,0.684,128.76085714285713,4.0,1
Ben Böhmer,0.68675,0.6225,6.75,-11.11475,0.5,0.043625,0.021015000000000002,0.8047500000000001,0.09235,0.105575,138.496,3.75,1
Ben E. King,0.627,0.328,5.0,-13.790000000000001,0.6666666666666666,0.040633333333333334,0.4503333333333333,0.00019366666666666667,0.16166666666666665,0.626,116.202,4.0,1
Ben Kim,0.725,0.797,11.0,-6.023,0.0,0.03,0.00402,0.251,0.102,0.794,127.986,4.0,1
Benny Benassi,0.681,0.693,9.0,-3.885,1.0,0.124,0.00978,0.361,0.0792,0.427,126.005,4.0,1
Bent,0.625,0.8,1.0,-8.161,1.0,0.0458,0.00556,0.386,0.0751,0.467,107.258,4.0,1
Beshken,0.77,0.499,0.0,-9.334,1.0,0.0459,0.061,0.259,0.667,0.352,132.049,4.0,1
Betical,0.696,0.507,10.0,-12.78,1.0,0.137,0.687,0.87,0.115,0.167,120.0,4.0,1
Bibio,0.261,0.289,4.0,-16.67,1.0,0.0386,0.967,0.973,0.21,0.15,95.166,3.0,1
Bicep,0.819,0.599,11.0,-6.778,1.0,0.039,0.347,0.824,0.083,0.489,127.986,4.0,1
Big Thief,0.615,0.753,6.0,-8.152,0.0,0.0859,0.132,0.502,0.116,0.555,131.045,4.0,1
Big Wild,0.478,0.256,8.0,-10.053,1.0,0.0302,0.967,0.0646,0.111,0.109,72.915,4.0,1
Billy Boyo,0.883,0.335,6.0,-10.081,0.0,0.195,0.00209,8.67e-05,0.24,0.58,130.893,4.0,1
Billy Bragg,0.54,0.544,5.0,-7.533,1.0,0.0369,0.812,0.0,0.0845,0.691,82.978,4.0,1
Billy Changer,0.48888888888888893,0.6955555555555555,6.111111111111111,-6.507777777777778,0.7777777777777778,0.030766666666666664,0.3783166666666667,0.6605655555555556,0.27007777777777775,0.543,125.46755555555556,4.0,1
Birdman,0.534,0.813,9.0,-5.902,1.0,0.406,0.0695,0.0,0.606,0.548,149.613,4.0,1
Birdy,0.5065,0.563,8.0,-6.8215,1.0,0.04765,0.59925,1.1184999999999999e-05,0.11432500000000001,0.34825,118.0065,4.0,1
Black Belt Eagle Scout,0.55,0.728,2.0,-7.091,1.0,0.0274,0.00389,0.431,0.117,0.335,124.095,4.0,1
Black Chow,0.503,0.649,1.0,-6.921,1.0,0.0356,0.017,0.0218,0.622,0.179,79.984,4.0,1
Black Eyed Peas,0.965,0.485,2.0,-8.784,1.0,0.191,0.0206,0.0237,0.0655,0.312,124.025,4.0,1
Black Flag,0.353,0.8785000000000001,4.25,-11.255500000000001,0.5,0.08145,0.545,0.0,0.3945,0.3555,115.17125,4.0,1
Blake.08,0.777,0.971,5.0,-6.226,0.0,0.165,0.0814,0.694,0.126,0.381,125.997,4.0,1
Blanche,0.8,0.752,8.0,-6.957,1.0,0.0438,0.000868,0.302,0.0624,0.659,120.01,4.0,1
Blanck Mass,0.53,0.84,1.0,-7.798,1.0,0.0371,1.22e-06,0.872,0.101,0.539,133.03,4.0,1
Blank & Jones,0.597,0.27,6.0,-14.454,0.0,0.0335,0.623,0.868,0.103,0.16,87.996,4.0,1
Bloc Party,0.5155,0.915,5.0,-6.648,0.5,0.04135,0.0015994999999999998,0.0071400000000000005,0.1735,0.5765,155.129,4.0,1
Blondage,0.575,0.78,6.0,-4.912,1.0,0.0664,0.0655,4.32e-06,0.11,0.133,80.045,4.0,1
Blonde Redhead,0.6638,0.31920000000000004,2.8,-14.3888,0.2,0.04218,0.6878,0.51024,0.1212,0.36146,119.84459999999999,4.0,1
Blood Orange,0.6631428571428571,0.6845714285714285,5.285714285714286,-8.524571428571429,0.7142857142857143,0.06684285714285713,0.19263714285714287,0.16883985714285712,0.32644285714285715,0.5005714285714286,119.80185714285714,3.5714285714285716,1
Blouse,0.5553333333333333,0.6926666666666667,5.333333333333333,-8.463000000000001,1.0,0.031966666666666664,0.30296666666666666,0.7766666666666667,0.14746666666666666,0.547,119.33166666666666,4.0,1
Blue Swede,0.547,0.82,8.0,-6.728,1.0,0.0805,0.261,0.0,0.3,0.933,118.208,4.0,1
Boards of Canada,0.28049999999999997,0.3144,8.0,-21.808500000000002,0.5,0.03585,0.722,0.8674999999999999,0.09885,0.0359,115.56049999999999,4.0,1
Bob Marley & The Wailers,0.663,0.844,4.0,-4.88,0.0,0.255,0.00828,0.00168,0.236,0.638,124.006,4.0,1
Bob Moses,0.645,0.7785,7.0,-9.135000000000002,0.5,0.04325,0.1655,0.802,0.1795,0.1798,120.995,4.0,1
Bobby Darin,0.786,0.641,5.0,-16.072,1.0,0.0722,0.703,3.17e-06,0.152,0.948,139.472,4.0,1
Bolier,0.718,0.814,9.0,-6.136,0.0,0.0482,0.0707,0.358,0.318,0.227,117.949,4.0,1
Bon Iver,0.437,0.143,11.0,-17.012,1.0,0.0329,0.927,0.0336,0.109,0.0868,132.87,4.0,1
Bongzilla,0.26485714285714285,0.8744285714285714,5.714285714285714,-6.721285714285714,1.0,0.06267142857142857,0.0049740657142857145,0.745,0.21957142857142856,0.3112857142857143,122.12814285714285,4.0,1
Boogie Down Productions,0.697,0.503,7.0,-13.338,1.0,0.0793,0.0467,0.000407,0.105,0.881,180.103,4.0,1
Booka Shade,0.782,0.736,5.0,-9.004,0.0,0.0511,0.00818,0.849,0.858,0.119,122.998,4.0,1
Boom! Bap! Pow!,0.594,0.901,1.0,-6.077,0.0,0.102,0.0187,2.08e-06,0.299,0.8,158.206,4.0,1
Borneo,0.823,0.597,1.0,-8.27,0.0,0.0766,0.119,0.751,0.0992,0.144,127.004,4.0,1
Bottai,0.62,0.96,3.0,-4.976,0.0,0.0849,0.118,0.906,0.42,0.387,122.019,4.0,1
Bounty Killer,0.757,0.642,9.0,-12.278,1.0,0.347,0.404,0.0,0.0714,0.865,90.09,4.0,1
Boy Harsher,0.661,0.615,10.0,-11.428,0.0,0.0391,0.00788,0.587,0.104,0.216,121.01,4.0,1
Boys Noize,0.6305000000000001,0.7657499999999999,2.75,-6.12025,0.5,0.23622500000000002,0.15860000000000002,0.50125,0.403,0.5507500000000001,141.03425000000001,4.0,1
Boza,0.725,0.756,4.0,-5.013,1.0,0.0572,0.362,0.000685,0.103,0.828,100.07,4.0,1
Brian Eno,0.189,0.343,4.0,-20.314,1.0,0.0453,0.817,0.916,0.0924,0.0834,141.659,4.0,1
Bright Eyes,0.5685,0.6785,0.0,-9.4055,1.0,0.0859,0.42000000000000004,0.00111,0.2275,0.6975,118.66749999999999,4.0,1
Broadcast,0.599,0.729,9.0,-6.182,0.0,0.0262,0.00206,0.0205,0.337,0.215,98.078,4.0,1
Brodinski,0.764,0.62675,3.75,-5.5415,0.5,0.06775,0.046733250000000004,0.28681999999999996,0.332075,0.27842500000000003,126.76775,4.0,1
Broken Social Scene,0.38233333333333336,0.7678333333333334,6.166666666666667,-7.167166666666667,1.0,0.08183333333333333,0.02665171666666667,0.45191333333333333,0.25780000000000003,0.32416666666666666,127.082,3.5,1
Brokenchord,0.697,0.852,5.0,-8.115,0.0,0.0725,0.0151,0.761,0.0512,0.581,118.731,4.0,1
Bruce Springsteen,0.48233333333333334,0.7466666666666666,3.3333333333333335,-8.454333333333333,0.6666666666666666,0.05215,0.15611716666666667,0.04099996833333333,0.1872,0.644,125.53316666666667,4.0,1
Buena Vista Social Club,0.5505,0.48933333333333334,6.0,-13.685166666666666,0.6666666666666666,0.03833333333333334,0.7586666666666666,0.00167785,0.19021666666666667,0.7864999999999999,94.3815,4.0,1
Built To Spill,0.35107692307692306,0.7886923076923077,3.6923076923076925,-6.466384615384616,0.9230769230769231,0.04441538461538462,0.08658812307692307,0.24148469230769232,0.23123846153846153,0.4845384615384616,126.06076923076922,3.8461538461538463,1
Buraka Som Sistema,0.818,0.828,7.0,-5.631,1.0,0.164,0.035,0.00211,0.0613,0.641,140.014,4.0,1
Busta 929,0.491,0.576,2.0,-12.915,0.0,0.0858,0.0306,0.00162,0.0757,0.414,114.057,4.0,1
Buster,0.539,0.779,4.0,-7.467,1.0,0.0356,0.00108,0.191,0.118,0.359,90.015,4.0,1
Busy P,0.768,0.757,4.0,-9.0,1.0,0.215,0.0285,0.938,0.145,0.545,104.016,4.0,1
Butthole Surfers,0.4605,0.8580000000000001,5.5,-6.436,1.0,0.11115,0.0029563000000000002,0.11608,0.4675,0.47450000000000003,125.914,4.0,1
Buzzy Lee,0.604,0.414,2.0,-9.64,1.0,0.0353,0.709,0.43,0.532,0.417,109.461,4.0,1
C Duncan,0.729,0.365,5.0,-11.45,1.0,0.0331,0.277,0.751,0.117,0.195,102.988,4.0,1
CASISDEAD,0.77,0.541,5.0,-8.652,1.0,0.0971,0.0968,0.00309,0.215,0.129,102.026,4.0,1
